"","id","target","response","autoscore","trial number","rewardcue","cents","ParticipantID"
"1","5ea0552202b8bd000a2c129a"," STORE SOLD DIRTY CLOTHES","none",0,1,"0",0,"1"
"2","5ea0552202b8bd000a2c129a"," MAN ATE FRESH PEPPERS","the man ate the fresh peppers",100,2,"0",0,"1"
"3","5ea0552202b8bd000a2c129a"," SMALL BOY CHOSE GAME","the small boy chose the game",100,3,"0",0,"1"
"4","5ea0552202b8bd000a2c129a"," SMALL RESTAURANT NEEDED MONEY","the small restaurant needed money",100,4,"0",0,"1"
"5","5ea0552202b8bd000a2c129a"," BOSS BOUGHT NEW CAR","the boss is balding",25,5,"0",0,"1"
"6","5ea0552202b8bd000a2c129a"," MOTHER BAKED DELICIOUS COOKIES","the mother baked christmas cookies",75,6,"0",0,"1"
"7","5ea0552202b8bd000a2c129a"," DOCTOR HELPED SICK PATIENT","the doctor helped the patient",75,7,"0",0,"1"
"8","5ea0552202b8bd000a2c129a"," COUPLE EXPECTED NEW BABY","the couple is expecting a new baby",75,8,"0",0,"1"
"9","5ea0552202b8bd000a2c129a"," HUNGRY RABBIT ATE CARROTS","the hungry rabbit ate the carrots",100,9,"0",0,"1"
"10","5ea0552202b8bd000a2c129a"," TEAM PLAYED DIFFICULT GAME","none",0,10,"0",0,"1"
"11","5ea0552202b8bd000a2c129a"," CUSTOMERS HATED BLACK TEA","because rose hated the black tea",75,11,"0",0,"1"
"12","5ea0552202b8bd000a2c129a"," DARK HOUSE SCARED BABY","none",0,12,"0",0,"1"
"13","5ea0552202b8bd000a2c129a"," HORRIBLE STORY UPSET GRANDMOTHER","the horrible smell upset my parents",50,13,"0",0,"1"
"14","5ea0552202b8bd000a2c129a"," LOUD NOISE UPSET BABY","the loud noise upset the baby",100,14,"0",0,"1"
"15","5ea0552202b8bd000a2c129a"," GRAY GREY RABBIT LOVED CARROTS","the hungry rabbit loved the carrots",75,15,"0",0,"1"
"16","5ea0552202b8bd000a2c129a"," SON LOVED TOY CAR","the son loves the cake",25,16,"0",0,"1"
"17","5ea0552202b8bd000a2c129a"," WOMAN HEARD BEAUTIFUL SONG","the little girl knew the song",25,17,"$$$",15.625,"1"
"18","5ea0552202b8bd000a2c129a"," TRAVELERS VISITED NEW MUSEUM","the travelers visited the museum",75,18,"$$$",46.875,"1"
"19","5ea0552202b8bd000a2c129a"," MEAN BEAR ATE FRUIT","the mean bear ate the rabbit",75,19,"$$$",46.875,"1"
"20","5ea0552202b8bd000a2c129a"," TALENTED AUTHOR RECEIVED PRIZE","the talented author received the prize",100,20,"$$$",62.5,"1"
"21","5ea0552202b8bd000a2c129a"," PRETTY WOMAN LIKED COOKIES","the pretty woman liked the shoes",75,21,"0",0,"1"
"22","5ea0552202b8bd000a2c129a"," HOT SUN WARMED TEA","the hot sun warmed the chair",75,22,"0",0,"1"
"23","5ea0552202b8bd000a2c129a"," TEACHER CHOSE DIFFICULT QUESTION","the teacher chose the task",50,23,"0",0,"1"
"24","5ea0552202b8bd000a2c129a"," SMALL ANIMAL SCARED BABY","the small animal was scared away",75,24,"0",0,"1"
"25","5ea0552202b8bd000a2c129a"," PRESIDENT GAVE INTERESTING SPEECH","the president gave an interesting speech",100,25,"0",0,"1"
"26","5ea0552202b8bd000a2c129a"," MAN HEARD BEAUTIFUL MUSIC","the man heard that she was outside",50,26,"0",0,"1"
"27","5ea0552202b8bd000a2c129a"," LARGE MONKEY CHASED CHILD","the large monkey chased the child",100,27,"0",0,"1"
"28","5ea0552202b8bd000a2c129a"," FAMILY CLEANED DIRTY HOUSE","the family played in the dark house",50,28,"0",0,"1"
"29","5ea0552202b8bd000a2c129a"," TALENTED MUSICIAN KNEW SONGS","the talented musician wrote songs",75,29,"0",0,"1"
"30","5ea0552202b8bd000a2c129a"," CHILDREN LIKED FRESH VEGETABLES","the children rushed to the yard",25,30,"0",0,"1"
"31","5ea0552202b8bd000a2c129a"," SOFT MUSIC PLEASED BOSS","the soft music pleased the boss",100,31,"0",0,"1"
"32","5ea0552202b8bd000a2c129a"," MEAN CHILDREN BROKE RULES","the mean children robbed the house",50,32,"0",0,"1"
"33","5ea0552202b8bd000a2c129a"," MONKEY WANTED YELLOW BANANA","the monkey wanted the yellow banana",100,33,"0",0,"1"
"34","5ea0552202b8bd000a2c129a"," SCHOOL NEEDED NEW TEACHER","the school needed a new teacher",100,34,"0",0,"1"
"35","5ea0552202b8bd000a2c129a"," BOY CARRIED HEAVY CHAIR","the boy carried the heavy chair",100,35,"0",0,"1"
"36","5ea0552202b8bd000a2c129a"," ENGLISH STUDENT READ BOOK","the english student wrote the paper",50,36,"0",0,"1"
"37","5ea0552202b8bd000a2c129a"," AUTHOR TOLD INTERESTING STORY","the author told an interesting story",100,37,"$$$",62.5,"1"
"38","5ea0552202b8bd000a2c129a"," BOSS MET NEW CUSTOMERS","the boss met the new customers",100,38,"$$$",62.5,"1"
"39","5ea0552202b8bd000a2c129a"," BALL BROKE GLASS WINDOW","the ball broke the glass window",100,39,"$$$",62.5,"1"
"40","5ea0552202b8bd000a2c129a"," HORSE MADE LOUD NOISE","the music made a lot of noise",50,40,"$$$",31.25,"1"
"41","5ea0552202b8bd000a2c129a"," GRANDFATHER CHOSE OLD MOVIE","the grandfather chose an old clock",75,41,"0",0,"1"
"42","5ea0552202b8bd000a2c129a"," BLACK BEAR SCARED VISITORS","the black bear scared the visitors",100,42,"0",0,"1"
"43","5ea0552202b8bd000a2c129a"," GRAY GREY MOUSE ATE CHEESE","the green mouse ate the mac and cheese",75,43,"0",0,"1"
"44","5ea0552202b8bd000a2c129a"," THIRSTY DOG DRANK WATER","the thirsty dog drank the water",100,44,"0",0,"1"
"45","5ea0552202b8bd000a2c129a"," RICH BOYFRIEND OWNED HOUSES","the rich boyfriend owned the house they were in",75,45,"0",0,"1"
"46","5ea0552202b8bd000a2c129a"," HARDWORKING FARMER GREW CORN","the hard working farmer grew the corn",75,46,"0",0,"1"
"47","5ea0552202b8bd000a2c129a"," MONKEY MADE HORRIBLE NOISE","the monkey made the best face",50,47,"0",0,"1"
