Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Amount1,Amount2,State1,State2,ANSWER
1,1591722417131,09/06/2020 17:06:57,1591722415544,-7,09/06/2020 10:06:55,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1591722428140,09/06/2020 17:07:08,1591722426558,-7,09/06/2020 10:07:06,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,1,1,1,Screen 1,button,continue_button,10981.999999999998,,,,,0,1,0,,,,,,Instructions,,,,,
3,1591722433823,09/06/2020 17:07:13,1591722432286,-7,09/06/2020 10:07:12,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,8,1,1,Screen 1,button_b,response_button_text,5712,,,Receive $35 in 13 days,1,0,1,0,,,,,1,Trial,Receive $15 today,Receive $35 in 13 days,,,
4,1591722436080,09/06/2020 17:07:16,1591722434542,-7,09/06/2020 10:07:14,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,9,2,1,Screen 1,buttona,response_button_text,2242.0000000000036,,,Receive $60 in 14 days,1,0,1,0,,,,,1,Trial,Receive $60 in 14 days,Receive $25 today,,,
5,1591722439571,09/06/2020 17:07:19,1591722438043,-7,09/06/2020 10:07:18,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,22,3,1,Screen 1,buttona,response_button_text,3487,,,Receive $34 today,1,0,1,0,,,,,1,Trial,Receive $34 today,Receive $50 in 30 days,,,
6,1591722443391,09/06/2020 17:07:23,1591722441842,-7,09/06/2020 10:07:21,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,19,4,1,Screen 1,button_b,response_button_text,3788,,,Receive $24 today,1,0,1,0,,,,,1,Trial,Receive $35 in 29 days,Receive $24 today,,,
7,1591722446440,09/06/2020 17:07:26,1591722444904,-7,09/06/2020 10:07:24,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,23,5,1,Screen 1,button_b,response_button_text,3050,,,Receive $25 today,1,0,1,0,,,,,1,Trial,Receive $30 in 80 days,Receive $25 today,,,
8,1591722449049,09/06/2020 17:07:29,1591722447518,-7,09/06/2020 10:07:27,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,27,6,1,Screen 1,button_b,response_button_text,2602,,,Receive $22 today,1,0,1,0,,,,,1,Trial,Receive $25 in 136 days,Receive $22 today,,,
9,1591722452480,09/06/2020 17:07:32,1591722450945,-7,09/06/2020 10:07:30,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,6,7,1,Screen 1,button_b,response_button_text,3415,,,Receive $25 in 19 days,1,0,1,0,,,,,1,Trial,Receive $14 today,Receive $25 in 19 days,,,
10,1591722455886,09/06/2020 17:07:35,1591722453617,-7,09/06/2020 10:07:33,14612,10,task-s1se,,5532901,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Delay Discount Task,3,Spreadsheet1,5,8,1,Screen 1,buttona,response_button_text,2661.0000000000073,,,Receive $85 in 7 days,1,0,1,0,,,,,1,Trial,Receive $85 in 7 days,Receive $31 today,,,
