Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,response-1-year,response-1-month,response-1-day,response-1-inmonths,Language,OtherLanguages,OtherLanguages-text,OtherLanguages-quantised,Sex,Sex-text,Sex-quantised,Gender,Gender-text,Gender-quantised,Ethnicity,Ethnicity-text,Ethnicity-quantised,Race-1,Race-2,Race-3,Race-4,Race-5,Race-text,Race-other,ZIPborn,ZIPcurrent,HouseholdSize,Income,Education,Education-text,Education-quantised,Occupation,END QUESTIONNAIRE
1,1591722231150,09/06/2020 17:03:51,1591722229437,-7,09/06/2020 10:03:49,14612,10,questionnaire-s9zq,,5532800,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Demographic Information,3,20,11,2,,English,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,,,,Asian,,,prefer not to reply,93021,3,145000,High School (12),,2,student,49881
1,1591722255772,09/06/2020 17:04:15,1591722257002,-5,09/06/2020 12:04:17,14612,10,questionnaire-s9zq,,5532818,59e91cebae9f950001d8466a,1541386,,complete,,5edfc0c4d426ce2c5d7c359b,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1600x900,1600x730,,Demographic Information,3,30,0,22,,English,No,,1,Female,,1,Woman,,1,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,60033,53184,2,51000,High School (12),,2,IT,111986
1,1591722274678,09/06/2020 17:04:34,1591722273900,-4,09/06/2020 13:04:33,14612,10,questionnaire-s9zq,,5532823,5e89ad187ad752640e558c8a,1541387,,complete,,5edfc0f5a265fc2c075de242,computer,Desktop or Laptop,Chromium OS 12871.102.0,Chrome 81.0.4044.141,1187x667,1139x597,,Demographic Information,3,22,0,27,,english,No,,1,Male,,2,Man,,2,Hispanic or Latino,,1,,,White or Caucasian,,,,,10001,10001,3,99000,Bachelor's (16),,4,musician ,89375
1,1591722291993,09/06/2020 17:04:51,1591722291709,-4,09/06/2020 13:04:51,14612,10,questionnaire-s9zq,,5532833,5ebf0609ddad5c2dca3dcc63,1541382,,complete,,5edfc0c10b0b992c91f4b2ea,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1536x864,1536x750,,Demographic Information,3,22,3,6,,English,No,,1,Female,,1,Other:,Questioning,,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,48037,48187,3,"$60,000",Bachelor's (16),,4,"Full-time college student, no job",116466
1,1591722294142,09/06/2020 17:04:54,1591722294018,-4,09/06/2020 13:04:54,14612,10,questionnaire-s9zq,,5532834,5b78542ef642ed0001517ca0,1541390,,complete,,5edfc0f9ecf5a02c04e6eb11,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.61,1440x900,1180x798,,Demographic Information,3,29,1,17,,english,No,,1,Female,,1,Woman,,1,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,14760,32609,1,30000,Master's (18),,5,teaching assistant/research assistant,58308
1,1591722445954,09/06/2020 17:07:25,1591722445004,-5,09/06/2020 12:07:25,14612,10,questionnaire-s9zq,,5532917,5df837d7afb8b05ea6aafddb,1541411,,complete,,5edfc1025074cf2c10a81781,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.15,1366x768,1366x657,,Demographic Information,3,21,1,27,,English,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,79932,73069,3,"115,000",High School (12),,2,prefer not to reply,95493
1,1591722461118,09/06/2020 17:07:41,1591722460994,-5,09/06/2020 12:07:40,14612,10,questionnaire-s9zq,,5532920,5ed1b1f962f152000804db12,1541379,,complete,,5edfc0c3fec5422b481829cd,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.61,1440x900,1440x789,,Demographic Information,3,18,10,1,,english,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,Black or African American,,,,,,75070,75070,5,prefer not to reply,High School (12),,2,prefer not to reply,117186
1,1591722586443,09/06/2020 17:09:46,1591722585790,-7,09/06/2020 10:09:45,14612,10,questionnaire-s9zq,,5532969,5e1a5142e0dce02cb17b03f6,1541420,,complete,,5edfc0c6b54d222cb82e69c1,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 83.0.4103.61,1440x900,1440x688,,Demographic Information,3,19,5,8,,English,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,89135,89138,4,50000,High School (12),,2,Vehicle Specialist,62778
1,1591722821375,09/06/2020 17:13:41,1591722822109,8,10/06/2020 01:13:42,14612,10,questionnaire-s9zq,,5533072,5ead5aa4974f0c017441fc5a,1541444,,complete,,5edfc0f7950c382d0202c377,computer,Desktop or Laptop,Windows 8.1,Firefox 76.0,1366x768,1366x664,,Demographic Information,3,24,1,24,,english,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,prefer not to reply,prefer not to reply,prefer not to reply,prefer not to reply,Bachelor's (16),,4,prefer not to reply,122387
1,1591722864462,09/06/2020 17:14:24,1591722862369,-4,09/06/2020 13:14:22,14612,10,questionnaire-s9zq,,5533098,5c3a865019ceb400010c914a,1541443,,complete,,5edfc101cff15e2cfe7810e7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1600x900,1600x757,,Demographic Information,3,29,10,18,,English,No,,1,Male,,2,Man,,2,Non-Hispanic or Non-Latino,,2,,,White or Caucasian,,,,,02143,02143,2,41000,Bachelor's (16),,4,editor,63589
