Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,cheerful,attentive,bashful,sluggish,daring,surprised,strong,scornful,relaxed,irritable,delighted,inspired,fearless,disgusted,sad,calm,afraid,tired,amazed,shaky,happy,timid,alone,alert,upset,angry,bold,blue,shy,active,guilty,joyful,nervous,lonely,sleepy,exctied,hostile,proud,jittery,lively,ashamed,atease,scared,drowsy,angryself,enthusiastic,downhearted,sheepish,distressed,blameworthy,determined,frightened,astonished,interested,loathing,confident,energetic,concentrating,dissatistfiedself,END QUESTIONNAIRE
1,1.59172E+12,9/6/2020 17:29,1.59172E+12,-5,9/6/2020 12:29,14612,10,questionnaire-rarb,,5533380,5df837d7afb8b05ea6aafddb,1541411,,complete,,5edfc1025074cf2c10a81781,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.15,1366x768,1366x657,,PANAS-X,4,2,4,1,4,1,1,2,1,2,3,2,2,1,1,2,3,1,4,1,1,2,1,2,3,2,1,1,2,1,3,1,1,3,2,4,1,1,1,2,2,1,2,1,3,2,1,2,1,1,2,2,1,1,3,1,1,2,3,2,71565
1,1.59172E+12,9/6/2020 17:29,1.59172E+12,-4,9/6/2020 13:29,14612,10,questionnaire-rarb,,5533382,5e89ad187ad752640e558c8a,1541387,,complete,,5edfc0f5a265fc2c075de242,computer,Desktop or Laptop,Chromium OS 12871.102.0,Chrome 81.0.4044.141,1187x667,1139x597,,PANAS-X,4,3,5,1,2,1,2,2,1,3,2,3,3,2,1,1,4,2,5,2,1,4,1,1,3,1,1,2,1,1,3,1,3,1,2,4,3,1,2,1,3,1,3,1,3,1,2,1,3,1,1,2,1,2,3,1,2,3,3,1,94081
1,1.59172E+12,9/6/2020 17:30,1.59172E+12,-7,9/6/2020 10:30,14612,10,questionnaire-rarb,,5533392,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,PANAS-X,4,3,4,1,1,2,1,1,1,5,1,3,3,1,1,1,5,1,2,2,1,4,1,2,3,1,1,2,1,1,2,1,3,1,1,1,3,1,2,1,4,1,5,1,1,1,3,1,1,1,1,3,1,2,3,1,3,3,4,1,73062
1,1.59172E+12,9/6/2020 17:30,1.59172E+12,-5,9/6/2020 12:30,14612,10,questionnaire-rarb,,5533394,59e91cebae9f950001d8466a,1541386,,complete,,5edfc0c4d426ce2c5d7c359b,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1600x900,1600x730,,PANAS-X,4,2,3,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,2,1,1,2,2,2,87078
1,1.59172E+12,9/6/2020 17:32,1.59172E+12,-4,9/6/2020 13:32,14612,10,questionnaire-rarb,,5533428,5b78542ef642ed0001517ca0,1541390,,complete,,5edfc0f9ecf5a02c04e6eb11,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.61,1440x900,1180x798,,PANAS-X,4,2,4,1,2,1,1,3,1,2,3,1,2,1,1,3,3,2,1,1,2,3,1,4,3,1,1,1,3,1,2,3,1,3,4,1,1,1,2,3,1,3,1,2,1,2,1,2,1,3,1,1,1,1,2,1,1,1,3,2,75844
1,1.59172E+12,9/6/2020 17:32,1.59172E+12,-4,9/6/2020 13:32,14612,10,questionnaire-rarb,,5533448,5ebf0609ddad5c2dca3dcc63,1541382,,complete,,5edfc0c10b0b992c91f4b2ea,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1536x864,1536x750,,PANAS-X,4,2,2,1,5,1,1,1,3,2,2,2,2,1,1,3,1,4,4,1,5,2,1,3,1,4,3,1,4,1,1,1,2,4,3,5,1,2,1,5,1,1,1,3,5,3,1,3,1,5,1,2,3,1,2,3,1,1,1,2,99524
1,1.59172E+12,9/6/2020 17:37,1.59172E+12,-7,9/6/2020 10:37,14612,10,questionnaire-rarb,,5533567,5e1a5142e0dce02cb17b03f6,1541420,,complete,,5edfc0c6b54d222cb82e69c1,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 83.0.4103.61,1440x900,1440x688,,PANAS-X,4,4,5,4,2,5,5,4,2,5,2,3,3,2,1,1,4,1,1,2,1,3,1,1,2,1,1,3,3,3,4,1,4,2,1,1,4,1,3,1,3,1,4,1,1,1,4,1,1,1,1,4,1,1,4,1,4,4,3,1,134989
1,1.59172E+12,9/6/2020 17:41,1.59172E+12,-4,9/6/2020 13:41,14612,10,questionnaire-rarb,,5533629,5c3a865019ceb400010c914a,1541443,,complete,,5edfc101cff15e2cfe7810e7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1600x900,1600x757,,PANAS-X,4,4,5,2,1,3,1,4,1,5,1,4,4,1,1,2,4,1,1,1,1,4,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,4,1,1,1,1,5,1,1,4,1,3,4,4,1,80356
1,1.59172E+12,9/6/2020 17:49,1.59172E+12,-5,9/6/2020 12:49,14612,10,questionnaire-rarb,,5533791,5ed1b1f962f152000804db12,1541379,,complete,,5edfc0c3fec5422b481829cd,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.61,1440x900,1440x789,,PANAS-X,4,1,4,1,2,2,1,1,1,3,1,1,2,1,1,1,3,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,160754
1,1.59172E+12,9/6/2020 17:49,1.59172E+12,8,10/6/2020 1:49,14612,10,questionnaire-rarb,,5533799,5ead5aa4974f0c017441fc5a,1541444,,complete,,5edfc0f7950c382d0202c377,computer,Desktop or Laptop,Windows 8.1,Firefox 76.0,1366x768,1366x664,,PANAS-X,4,1,5,2,3,3,2,2,2,2,2,3,2,3,2,2,2,3,3,2,1,2,2,3,2,2,3,2,2,2,2,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,3,1,130242
1,1.59175E+12,10/6/2020 1:08,1.59175E+12,-5,9/6/2020 20:12,14612,10,questionnaire-rarb,,5538866,5c5a19299404f10001ff8cbf,1542939,,complete,,5ee02cfc69a880367b6e6412,computer,Desktop or Laptop,Windows 10,Opera 68.0.3618.142,1366x768,1325x668,,PANAS-X,4,1,3,2,2,1,1,1,1,2,2,2,3,1,1,2,2,2,3,1,1,2,1,3,2,2,1,1,2,2,1,2,1,2,3,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,120940
