"","ParticipantID","id","target","response","accuracy","trial_number","randomise_blocks","soundfile","sentencenum","rewardcue","cents"
"1","1","5ea0552202b8bd000a2c129a"," STORE SOLD DIRTY CLOTHES","none",0,"1",4,"csp088_F01_babbleSNR-3.mp3",88,"0",0
"2","1","5ea0552202b8bd000a2c129a"," MAN ATE FRESH PEPPERS","the man ate the fresh peppers",100,"2",4,"csp134_F01_babbleSNR-3.mp3",134,"0",0
"3","1","5ea0552202b8bd000a2c129a"," SMALL BOY CHOSE GAME","the small boy chose the game",100,"3",4,"csp050_F01_babbleSNR-3.mp3",50,"0",0
"4","1","5ea0552202b8bd000a2c129a"," SMALL RESTAURANT NEEDED MONEY","the small restaurant needed money",100,"4",4,"csp061_F01_babbleSNR-3.mp3",61,"0",0
"5","1","5ea0552202b8bd000a2c129a"," BOSS BOUGHT NEW CAR","the boss is balding",25,"5",17,"csp147_F01_babbleSNR-3.mp3",147,"0",0
"6","1","5ea0552202b8bd000a2c129a"," MOTHER BAKED DELICIOUS COOKIES","the mother baked christmas cookies",75,"6",17,"csp099_F01_babbleSNR-3.mp3",99,"0",0
"7","1","5ea0552202b8bd000a2c129a"," DOCTOR HELPED SICK PATIENT","the doctor helped the patient",75,"7",17,"csp124_F01_babbleSNR-3.mp3",124,"0",0
"8","1","5ea0552202b8bd000a2c129a"," COUPLE EXPECTED NEW BABY","the couple is expecting a new baby",75,"8",17,"csp136_F01_babbleSNR-3.mp3",136,"0",0
"9","1","5ea0552202b8bd000a2c129a"," HUNGRY RABBIT ATE CARROTS","the hungry rabbit ate the carrots",100,"9",6,"csp073_F01_babbleSNR-3.mp3",73,"0",0
"10","1","5ea0552202b8bd000a2c129a"," TEAM PLAYED DIFFICULT GAME","none",0,"10",6,"csp100_F01_babbleSNR-3.mp3",100,"0",0
"11","1","5ea0552202b8bd000a2c129a"," CUSTOMERS HATED BLACK TEA","because rose hated the black tea",75,"11",6,"csp121_F01_babbleSNR-3.mp3",121,"0",0
"12","1","5ea0552202b8bd000a2c129a"," DARK HOUSE SCARED BABY","none",0,"12",6,"csp012_F01_babbleSNR-3.mp3",12,"0",0
"13","1","5ea0552202b8bd000a2c129a"," HORRIBLE STORY UPSET GRANDMOTHER","the horrible smell upset my parents",50,"13",20,"csp079_F01_babbleSNR-3.mp3",79,"0",0
"14","1","5ea0552202b8bd000a2c129a"," LOUD NOISE UPSET BABY","the loud noise upset the baby",100,"14",20,"csp006_F01_babbleSNR-3.mp3",6,"0",0
"15","1","5ea0552202b8bd000a2c129a"," GRAY GREY RABBIT LOVED CARROTS","the hungry rabbit loved the carrots",75,"15",20,"csp047_F01_babbleSNR-3.mp3",47,"0",0
"16","1","5ea0552202b8bd000a2c129a"," SON LOVED TOY CAR","the son loves the cake",25,"16",20,"csp143_F01_babbleSNR-3.mp3",143,"0",0
"17","1","5ea0552202b8bd000a2c129a"," WOMAN HEARD BEAUTIFUL SONG","the little girl knew the song",25,"17",10,"csp112_F01_babbleSNR-3.mp3",112,"$$$",15.625
"18","1","5ea0552202b8bd000a2c129a"," TRAVELERS VISITED NEW MUSEUM","the travelers visited the museum",75,"18",10,"csp119_F01_babbleSNR-3.mp3",119,"$$$",46.875
"19","1","5ea0552202b8bd000a2c129a"," MEAN BEAR ATE FRUIT","the mean bear ate the rabbit",75,"19",10,"csp005_F01_babbleSNR-3.mp3",5,"$$$",46.875
"20","1","5ea0552202b8bd000a2c129a"," TALENTED AUTHOR RECEIVED PRIZE","the talented author received the prize",100,"20",10,"csp022_F01_babbleSNR-3.mp3",22,"$$$",62.5
"21","1","5ea0552202b8bd000a2c129a"," PRETTY WOMAN LIKED COOKIES","the pretty woman liked the shoes",75,"21",5,"csp057_F01_babbleSNR-3.mp3",57,"0",0
"22","1","5ea0552202b8bd000a2c129a"," HOT SUN WARMED TEA","the hot sun warmed the chair",75,"22",5,"csp064_F01_babbleSNR-3.mp3",64,"0",0
"23","1","5ea0552202b8bd000a2c129a"," TEACHER CHOSE DIFFICULT QUESTION","the teacher chose the task",50,"23",5,"csp158_F01_babbleSNR-3.mp3",158,"0",0
"24","1","5ea0552202b8bd000a2c129a"," SMALL ANIMAL SCARED BABY","the small animal was scared away",75,"24",5,"csp020_F01_babbleSNR-3.mp3",20,"0",0
"25","1","5ea0552202b8bd000a2c129a"," PRESIDENT GAVE INTERESTING SPEECH","the president gave an interesting speech",100,"25",16,"csp149_F01_babbleSNR-3.mp3",149,"0",0
"26","1","5ea0552202b8bd000a2c129a"," MAN HEARD BEAUTIFUL MUSIC","the man heard that she was outside",50,"26",16,"csp150_F01_babbleSNR-3.mp3",150,"0",0
"27","1","5ea0552202b8bd000a2c129a"," LARGE MONKEY CHASED CHILD","the large monkey chased the child",100,"27",16,"csp004_F01_babbleSNR-3.mp3",4,"0",0
"28","1","5ea0552202b8bd000a2c129a"," FAMILY CLEANED DIRTY HOUSE","the family played in the dark house",50,"28",16,"csp141_F01_babbleSNR-3.mp3",141,"0",0
"29","1","5ea0552202b8bd000a2c129a"," TALENTED MUSICIAN KNEW SONGS","the talented musician wrote songs",75,"29",14,"csp013_F01_babbleSNR-3.mp3",13,"0",0
"30","1","5ea0552202b8bd000a2c129a"," CHILDREN LIKED FRESH VEGETABLES","the children rushed to the yard",25,"30",14,"csp128_F01_babbleSNR-3.mp3",128,"0",0
"31","1","5ea0552202b8bd000a2c129a"," SOFT MUSIC PLEASED BOSS","the soft music pleased the boss",100,"31",14,"csp078_F01_babbleSNR-3.mp3",78,"0",0
"32","1","5ea0552202b8bd000a2c129a"," MEAN CHILDREN BROKE RULES","the mean children robbed the house",50,"32",14,"csp080_F01_babbleSNR-3.mp3",80,"0",0
"33","1","5ea0552202b8bd000a2c129a"," MONKEY WANTED YELLOW BANANA","the monkey wanted the yellow banana",100,"33",13,"csp145_F01_babbleSNR-3.mp3",145,"0",0
"34","1","5ea0552202b8bd000a2c129a"," SCHOOL NEEDED NEW TEACHER","the school needed a new teacher",100,"34",13,"csp148_F01_babbleSNR-3.mp3",148,"0",0
"35","1","5ea0552202b8bd000a2c129a"," BOY CARRIED HEAVY CHAIR","the boy carried the heavy chair",100,"35",13,"csp104_F01_babbleSNR-3.mp3",104,"0",0
"36","1","5ea0552202b8bd000a2c129a"," ENGLISH STUDENT READ BOOK","the english student wrote the paper",50,"36",13,"csp063_F01_babbleSNR-3.mp3",63,"0",0
"37","1","5ea0552202b8bd000a2c129a"," AUTHOR TOLD INTERESTING STORY","the author told an interesting story",100,"37",15,"csp116_F01_babbleSNR-3.mp3",116,"$$$",62.5
"38","1","5ea0552202b8bd000a2c129a"," BOSS MET NEW CUSTOMERS","the boss met the new customers",100,"38",15,"csp129_F01_babbleSNR-3.mp3",129,"$$$",62.5
"39","1","5ea0552202b8bd000a2c129a"," BALL BROKE GLASS WINDOW","the ball broke the glass window",100,"39",15,"csp089_F01_babbleSNR-3.mp3",89,"$$$",62.5
"40","1","5ea0552202b8bd000a2c129a"," HORSE MADE LOUD NOISE","the music made a lot of noise",50,"40",15,"csp152_F01_babbleSNR-3.mp3",152,"$$$",31.25
"41","1","5ea0552202b8bd000a2c129a"," GRANDFATHER CHOSE OLD MOVIE","the grandfather chose an old clock",75,"41",18,"csp127_F01_babbleSNR-3.mp3",127,"0",0
"42","1","5ea0552202b8bd000a2c129a"," BLACK BEAR SCARED VISITORS","the black bear scared the visitors",100,"42",18,"csp008_F01_babbleSNR-3.mp3",8,"0",0
"43","1","5ea0552202b8bd000a2c129a"," GRAY GREY MOUSE ATE CHEESE","the green mouse ate the mac and cheese",75,"43",18,"csp002_F01_babbleSNR-3.mp3",2,"0",0
"44","1","5ea0552202b8bd000a2c129a"," THIRSTY DOG DRANK WATER","the thirsty dog drank the water",100,"44",18,"csp076_F01_babbleSNR-3.mp3",76,"0",0
"45","1","5ea0552202b8bd000a2c129a"," RICH BOYFRIEND OWNED HOUSES","the rich boyfriend owned the house they were in",75,"45",19,"csp035_F01_babbleSNR-3.mp3",35,"0",0
"46","1","5ea0552202b8bd000a2c129a"," HARDWORKING FARMER GREW CORN","the hard working farmer grew the corn",75,"46",19,"csp071_F01_babbleSNR-3.mp3",71,"0",0
"47","1","5ea0552202b8bd000a2c129a"," MONKEY MADE HORRIBLE NOISE","the monkey made the best face",50,"47",19,"csp131_F01_babbleSNR-3.mp3",131,"0",0
"48","1","5ea0552202b8bd000a2c129a"," HOT COFFEE HURT BOY","the hot coffee burned the boy",75,"48",19,"csp019_F01_babbleSNR-3.mp3",19,"0",0
"49","1","5ea0552202b8bd000a2c129a"," COUPLE WANTED YOUNGEST CHILD","the couple wanted the youngest child",100,"49",8,"csp160_F01_babbleSNR-3.mp3",160,"0",0
"50","1","5ea0552202b8bd000a2c129a"," WOMAN MET RICH ACTOR","the woman met the rich actor",100,"50",8,"csp085_F01_babbleSNR-3.mp3",85,"0",0
"51","1","5ea0552202b8bd000a2c129a"," TINY FLIES BOTHERED GIRL","the tiny flies bothered the girl",100,"51",8,"csp017_F01_babbleSNR-3.mp3",17,"0",0
"52","1","5ea0552202b8bd000a2c129a"," CHEF COOKED DELICIOUS FOOD","the chef cooked the delicious food",100,"52",8,"csp094_F01_babbleSNR-3.mp3",94,"0",0
"53","1","5ea0552202b8bd000a2c129a"," MAN SHARED DIFFICULT STORY","the man shared the funny story",75,"53",1,"csp108_F01_babbleSNR-3.mp3",108,"0",0
"54","1","5ea0552202b8bd000a2c129a"," BOSS TOLD HORRIBLE JOKE","the boss told the woman a joke",75,"54",1,"csp135_F01_babbleSNR-3.mp3",135,"0",0
"55","1","5ea0552202b8bd000a2c129a"," GIRL LOVED SWEET COFFEE","the girl loved the sweet coffee",100,"55",1,"csp083_F01_babbleSNR-3.mp3",83,"0",0
"56","1","5ea0552202b8bd000a2c129a"," STRONG FATHER CARRIED BROTHER","none",0,"56",1,"csp003_F01_babbleSNR-3.mp3",3,"0",0
"57","1","5ea0552202b8bd000a2c129a"," YOUNGEST SISTER WATCHED PARADE","the youngest sister watched the dog",75,"57",2,"csp029_F01_babbleSNR-3.mp3",29,"$$$",46.875
"58","1","5ea0552202b8bd000a2c129a"," PROFESSOR GAVE UNFAIR GRADE","the professor gave the unfair grade",100,"58",2,"csp123_F01_babbleSNR-3.mp3",123,"$$$",62.5
"59","1","5ea0552202b8bd000a2c129a"," FOOTBALL PLAYER WON PRIZE","the football player won the prize",100,"59",2,"csp069_F01_babbleSNR-3.mp3",69,"$$$",62.5
"60","1","5ea0552202b8bd000a2c129a"," MOTHER DRANK ORANGE JUICE","the mother drank the orange juice",100,"60",2,"csp122_F01_babbleSNR-3.mp3",122,"$$$",62.5
"61","1","5ea0552202b8bd000a2c129a"," MAN ATE LARGE MEAL","the man ate the large meal",100,"61",9,"csp106_F01_babbleSNR-3.mp3",106,"0",0
"62","1","5ea0552202b8bd000a2c129a"," FAMILY WATCHED TALENTED PERFORMER","the man watched the talented player",50,"62",9,"csp115_F01_babbleSNR-3.mp3",115,"0",0
"63","1","5ea0552202b8bd000a2c129a"," CAT CHASED GRAY GREY MOUSE","the cat chased the gray mouse",100,"63",9,"csp098_F01_babbleSNR-3.mp3",98,"0",0
"64","1","5ea0552202b8bd000a2c129a"," TROUBLED CHILD NEEDED MOTHER","the troubled child needed the mother",100,"64",9,"csp056_F01_babbleSNR-3.mp3",56,"0",0
"65","1","5ea0552202b8bd000a2c129a"," BUSY DAUGHTER JOINED MUSEUM","the busy daughter enjoyed the museum",75,"65",12,"csp066_F01_babbleSNR-3.mp3",66,"0",0
"66","1","5ea0552202b8bd000a2c129a"," PLAYER HURT LEFT HAND","the player hurt his left hand",100,"66",12,"csp159_F01_babbleSNR-3.mp3",159,"0",0
"67","1","5ea0552202b8bd000a2c129a"," TALENTED DOCTOR SAVED CHILD","the talented doctor saved the child",100,"67",12,"csp068_F01_babbleSNR-3.mp3",68,"0",0
"68","1","5ea0552202b8bd000a2c129a"," THREE SISTERS SHARED CLOTHES","the three sisters shared the clothes",100,"68",12,"csp039_F01_babbleSNR-3.mp3",39,"0",0
"69","1","5ea0552202b8bd000a2c129a"," BROTHER MET TALENTED ARTIST","the brother met the talented artist",100,"69",3,"csp091_F01_babbleSNR-3.mp3",91,"0",0
"70","1","5ea0552202b8bd000a2c129a"," GRANDFATHER MADE WOODEN CHAIR","the grandfather knew the king",25,"70",3,"csp155_F01_babbleSNR-3.mp3",155,"0",0
"71","1","5ea0552202b8bd000a2c129a"," NEIGHBOR LIKED LOUD SONG","the neighbor like the ensemble",25,"71",3,"csp097_F01_babbleSNR-3.mp3",97,"0",0
"72","1","5ea0552202b8bd000a2c129a"," TEACHER WROTE DIFFICULT QUESTION","it is rude to ask a question",25,"72",3,"csp087_F01_babbleSNR-3.mp3",87,"0",0
"73","1","5ea0552202b8bd000a2c129a"," NURSE CLEANED DIRTY CLOTHES","the nurse cleaned the dirty clothes",100,"73",11,"csp114_F01_babbleSNR-3.mp3",114,"0",0
"74","1","5ea0552202b8bd000a2c129a"," FATHER HUGGED SAD DAUGHTER","the father had to solve the puzzle",25,"74",11,"csp093_F01_babbleSNR-3.mp3",93,"0",0
"75","1","5ea0552202b8bd000a2c129a"," PRETTY GIRL WON PRIZE","the pretty girl won the prize",100,"75",11,"csp031_F01_babbleSNR-3.mp3",31,"0",0
"76","1","5ea0552202b8bd000a2c129a"," BOY CARRIED SMALL RABBIT","the boy carried the small dog",75,"76",11,"csp139_F01_babbleSNR-3.mp3",139,"0",0
"77","1","5ea0552202b8bd000a2c129a"," DOCTOR OWNED YELLOW CAR","the doctor owned the yellow car",100,"77",7,"csp086_F01_babbleSNR-3.mp3",86,"$$$",62.5
"78","1","5ea0552202b8bd000a2c129a"," WIND DESTROYED TINY HOUSE","the wind destroyed the townhouse",50,"78",7,"csp101_F01_babbleSNR-3.mp3",101,"$$$",31.25
"79","1","5ea0552202b8bd000a2c129a"," CHEF CHOSE DELICIOUS CHEESE","the chef chose the toughest cheese",75,"79",7,"csp105_F01_babbleSNR-3.mp3",105,"$$$",46.875
"80","1","5ea0552202b8bd000a2c129a"," SMALL FAMILY PLAYED GAME","the small family lifted the gable",50,"80",7,"csp052_F01_babbleSNR-3.mp3",52,"$$$",31.25
"81","2","5c3154c5d347a50001e8fbd5"," GRANDFATHER CHOSE OLD MOVIE","Liam saw that his grandfather joe had a watch",25,"1",18,"csp127_F01_babbleSNR-3.mp3",127,"0",0
"82","2","5c3154c5d347a50001e8fbd5"," BLACK BEAR SCARED VISITORS","Liam saw the black bear scare the house cats",50,"2",18,"csp008_F01_babbleSNR-3.mp3",8,"0",0
"83","2","5c3154c5d347a50001e8fbd5"," GRAY GREY MOUSE ATE CHEESE","Liam saw that the ... cats",0,"3",18,"csp002_F01_babbleSNR-3.mp3",2,"0",0
"84","2","5c3154c5d347a50001e8fbd5"," THIRSTY DOG DRANK WATER","Liam saw the cats and dog drink tap water",50,"4",18,"csp076_F01_babbleSNR-3.mp3",76,"0",0
"85","2","5c3154c5d347a50001e8fbd5"," STORE SOLD DIRTY CLOTHES","Liam saw that the ...",0,"5",4,"csp088_F01_babbleSNR-3.mp3",88,"0",0
"86","2","5c3154c5d347a50001e8fbd5"," MAN ATE FRESH PEPPERS","saw that the man had",25,"6",4,"csp134_F01_babbleSNR-3.mp3",134,"0",0
"87","2","5c3154c5d347a50001e8fbd5"," SMALL BOY CHOSE GAME","Liam saw the small boy chopping wood",50,"7",4,"csp050_F01_babbleSNR-3.mp3",50,"0",0
"88","2","5c3154c5d347a50001e8fbd5"," SMALL RESTAURANT NEEDED MONEY","Liam saw that the small restaraunt had a",25,"8",4,"csp061_F01_babbleSNR-3.mp3",61,"0",0
"89","2","5c3154c5d347a50001e8fbd5"," AUTHOR TOLD INTERESTING STORY","Liam saw fall in hopscotch",0,"9",15,"csp116_F01_babbleSNR-3.mp3",116,"0",0
"90","2","5c3154c5d347a50001e8fbd5"," BOSS MET NEW CUSTOMERS","Liam saw that his boss had the",25,"10",15,"csp129_F01_babbleSNR-3.mp3",129,"0",0
"91","2","5c3154c5d347a50001e8fbd5"," BALL BROKE GLASS WINDOW","Liam saw that the house was white",0,"11",15,"csp089_F01_babbleSNR-3.mp3",89,"0",0
"92","2","5c3154c5d347a50001e8fbd5"," HORSE MADE LOUD NOISE","Liam saw that the",0,"12",15,"csp152_F01_babbleSNR-3.mp3",152,"0",0
"93","2","5c3154c5d347a50001e8fbd5"," MAN ATE LARGE MEAL","Liam saw that he had eaten a large",25,"13",9,"csp106_F01_babbleSNR-3.mp3",106,"0",0
"94","2","5c3154c5d347a50001e8fbd5"," FAMILY WATCHED TALENTED PERFORMER","Liam saw that his family house-watched",50,"14",9,"csp115_F01_babbleSNR-3.mp3",115,"0",0
"95","2","5c3154c5d347a50001e8fbd5"," CAT CHASED GRAY GREY MOUSE","Liam saw the cat chase the three housewives",25,"15",9,"csp098_F01_babbleSNR-3.mp3",98,"0",0
"96","2","5c3154c5d347a50001e8fbd5"," TROUBLED CHILD NEEDED MOTHER","Liam saw that",0,"16",9,"csp056_F01_babbleSNR-3.mp3",56,"0",0
"97","2","5c3154c5d347a50001e8fbd5"," PRETTY WOMAN LIKED COOKIES","Liam saw that his friend had been led",0,"17",5,"csp057_F01_babbleSNR-3.mp3",57,"$$$",0
"98","2","5c3154c5d347a50001e8fbd5"," HOT SUN WARMED TEA","Liam saw",0,"18",5,"csp064_F01_babbleSNR-3.mp3",64,"$$$",0
"99","2","5c3154c5d347a50001e8fbd5"," TEACHER CHOSE DIFFICULT QUESTION","Liam saw that chose watch",25,"19",5,"csp158_F01_babbleSNR-3.mp3",158,"$$$",15.625
"100","2","5c3154c5d347a50001e8fbd5"," SMALL ANIMAL SCARED BABY","Liam saw that his small animals hadn't been watched.",25,"20",5,"csp020_F01_babbleSNR-3.mp3",20,"$$$",15.625
"101","2","5c3154c5d347a50001e8fbd5"," BUSY DAUGHTER JOINED MUSEUM","Liam saw the busy daughter do house chores",50,"21",12,"csp066_F01_babbleSNR-3.mp3",66,"0",0
